code,entry_date,exit_signal_date,type,entry_close,exit_open_next,ret_pct,exit_day_close_vs_stop_pct,exit_day_ret_pct
BTC-USDT,2021-10-06,2021-10-23,stop_real,55315.0000,61286.7500,10.7959,2.3214,0.9862
BTC-USDT,2021-11-08,2021-11-16,stop_real,67525.8300,60058.8700,-11.0579,-2.4164,-5.5778
ETH-USDT,2019-04-08,2019-04-11,stop_real,178.7200,164.0600,-8.2028,1.4519,-7.3679
ETH-USDT,2019-05-11,2019-05-15,stop_fantasma,190.2000,248.0600,30.4206,12.3870,14.6488
ETH-USDT,2019-05-16,2019-05-17,stop_real,264.2500,244.3100,-7.5459,4.3032,-7.5497
ETH-USDT,2019-06-21,2019-06-27,stop_real,294.3500,298.3500,1.3589,-3.0235,-12.0923
ETH-USDT,2020-01-30,2020-02-12,stop_fantasma,184.6900,265.7400,43.8843,10.1321,12.2734
ETH-USDT,2020-02-14,2020-02-16,stop_real,285.1500,258.8900,-9.2092,0.6173,-2.2765
ETH-USDT,2020-05-30,2020-06-15,stop_real,243.6600,230.8600,-5.2532,3.1883,-0.3926
ETH-USDT,2020-07-22,2020-07-25,stop_fantasma,263.7400,305.3100,15.7617,7.8173,9.3534
ETH-USDT,2020-07-26,2020-08-01,stop_fantasma,311.0000,387.0100,24.4405,9.3888,11.7431
ETH-USDT,2020-08-13,2020-08-22,stop_real,424.5400,395.2300,-6.9039,3.9681,1.8739
ETH-USDT,2020-09-01,2020-09-02,stop_real,475.4000,439.5000,-7.5515,4.0476,-7.5515
ETH-USDT,2020-11-06,2020-11-26,stop_real,455.9100,519.8300,14.0203,-4.3007,-8.7217
ETH-USDT,2020-12-16,2020-12-23,stop_real,637.1800,585.4800,-8.1139,0.2086,-7.9959
ETH-USDT,2020-12-27,2021-01-03,stop_fantasma,685.1100,978.3300,42.7990,13.6000,26.3014
ETH-USDT,2021-01-04,2021-01-11,stop_real,1041.4300,1087.0000,4.3757,1.3178,-13.3339
ETH-USDT,2021-01-19,2021-01-22,stop_real,1365.3600,1232.6100,-9.7227,17.3861,10.9509
ETH-USDT,2021-02-02,2021-02-22,stop_real,1511.8700,1777.4200,17.5643,5.2057,-8.0656
ETH-USDT,2021-04-02,2021-04-18,stop_real,2133.6900,2235.6500,4.7786,-1.2028,-3.5364
ETH-USDT,2021-04-27,2021-05-03,stop_fantasma,2666.1300,3431.0400,28.6899,15.6944,16.3238
ETH-USDT,2021-05-08,2021-05-13,stop_real,3910.2600,3717.9200,-4.9189,3.1319,-2.7542
