code,entry_date,exit_signal_date,type,entry_close,exit_open_next,ret_pct,exit_day_close_vs_stop_pct,exit_day_ret_pct
SOL-USDT,2025-05-13,2025-05-15,stop_real,183.7500,169.1600,-7.9401,1.3280,-4.2346
SOL-USDT,2025-07-21,2025-07-23,stop_real,195.7200,189.4000,-3.2291,0.2939,-7.9242
SOL-USDT,2025-08-28,2025-09-22,stop_real,214.4300,220.3900,2.7795,-3.1556,-6.6819
XRP-USDT,2023-10-24,2023-11-07,stop_real,0.5588,0.6851,22.6020,5.1016,-4.1690
XRP-USDT,2024-03-02,2024-03-05,stop_real,0.6442,0.5913,-8.2117,0.9839,-8.7232
XRP-USDT,2024-03-11,2024-03-15,stop_real,0.7230,0.6341,-12.2960,0.6299,-5.2018
XRP-USDT,2024-07-16,2024-07-18,stop_real,0.5793,0.5697,-1.6572,0.7035,-8.9936
XRP-USDT,2024-11-12,2024-11-13,stop_real,0.7040,0.6897,-2.0312,7.0902,-2.0170
XRP-USDT,2024-11-14,2024-11-15,stop_fantasma,0.7736,0.8921,15.3180,12.0137,15.3309
XRP-USDT,2024-11-16,2024-11-22,stop_fantasma,1.1209,1.4726,31.3766,17.2107,18.0914
XRP-USDT,2024-11-29,2024-12-01,stop_fantasma,1.8006,2.2937,27.3853,20.9101,17.5473
XRP-USDT,2024-12-02,2024-12-03,stop_real,2.7245,2.5103,-7.8620,10.3380,-7.8657
XRP-USDT,2025-01-15,2025-01-19,stop_real,3.1429,2.9586,-5.8640,1.9960,-9.5116
XRP-USDT,2025-07-10,2025-07-17,stop_fantasma,2.5471,3.4813,36.6770,10.2903,14.5951
ADA-USDT,2023-11-01,2023-11-14,stop_real,0.3071,0.3579,16.5418,3.6100,0.3083
ADA-USDT,2023-12-05,2023-12-08,stop_fantasma,0.4257,0.5455,28.1419,10.2085,19.7366
ADA-USDT,2023-12-09,2023-12-11,stop_real,0.5791,0.5507,-4.9042,3.3092,-7.4143
ADA-USDT,2023-12-13,2023-12-17,stop_real,0.6675,0.5805,-13.0337,-0.8592,-4.5081
ADA-USDT,2024-03-01,2024-03-05,stop_real,0.7195,0.6923,-3.7804,1.5564,-10.1026
ADA-USDT,2024-11-08,2024-11-09,stop_fantasma,0.4447,0.4968,11.7158,11.2156,11.6933
ADA-USDT,2024-11-10,2024-11-13,stop_real,0.5901,0.5783,-1.9997,6.6030,1.2962
ADA-USDT,2024-11-15,2024-11-22,stop_fantasma,0.7071,1.0175,43.8976,18.7947,23.8136
ADA-USDT,2024-11-23,2024-11-26,stop_real,1.0658,0.9602,-9.9081,7.5316,1.7806
ADA-USDT,2024-12-02,2024-12-09,stop_real,1.2022,1.0035,-16.5280,1.3709,-15.9350
ADA-USDT,2025-05-10,2025-05-15,stop_real,0.8406,0.7624,-9.3029,1.9824,-4.5329
BNB-USDT,2023-11-06,2023-11-14,stop_real,255.1000,242.3000,-5.0176,1.0931,0.4977
BNB-USDT,2023-12-21,2023-12-26,stop_fantasma,272.1000,297.7000,9.4083,8.3333,11.5399
BNB-USDT,2023-12-27,2024-01-03,stop_real,324.1000,315.9000,-2.5301,6.0016,1.1531
BNB-USDT,2024-02-15,2024-02-21,stop_fantasma,354.2000,379.2000,7.0582,6.6637,6.9374
BNB-USDT,2024-02-22,2024-03-05,stop_real,382.6000,394.1000,3.0058,2.5127,-5.8078
BNB-USDT,2024-03-06,2024-03-07,stop_fantasma,429.4000,474.6000,10.5263,10.5057,10.5263
BNB-USDT,2024-03-08,2024-03-13,stop_fantasma,485.8000,630.5000,29.7859,10.7792,17.3023
BNB-USDT,2024-06-04,2024-06-07,stop_real,685.7000,684.0000,-0.2479,2.2834,-3.8245
BNB-USDT,2024-09-23,2024-09-30,stop_real,604.5000,567.4000,-6.1373,0.6011,-4.7347
BNB-USDT,2024-11-09,2024-11-11,stop_fantasma,624.6600,659.6300,5.5982,7.4960,5.1488
BNB-USDT,2024-12-03,2024-12-09,stop_real,734.6400,689.2000,-6.1853,2.9368,-7.1173
BNB-USDT,2025-05-09,2025-05-17,stop_real,666.2900,639.5000,-4.0208,0.5600,-1.1210
BNB-USDT,2025-07-16,2025-07-22,stop_fantasma,708.6100,786.6900,11.0188,5.2836,2.6703
BNB-USDT,2025-07-27,2025-07-30,stop_real,844.0000,793.5100,-5.9822,0.7059,-1.4396
BNB-USDT,2025-08-22,2025-08-25,stop_real,900.2100,839.3200,-6.7640,0.6692,-4.2430
BNB-USDT,2025-09-12,2025-09-20,stop_fantasma,924.8000,1043.7700,12.8644,5.2194,6.0634
BNB-USDT,2025-10-02,2025-10-03,stop_fantasma,1090.2200,1189.4000,9.0972,8.8568,9.0972
BNB-USDT,2025-10-06,2025-10-10,stop_real,1223.1900,1102.5700,-9.8611,-7.2893,-12.1783
BNB-USDT,2026-01-13,2026-01-20,stop_real,943.7300,884.1900,-6.3090,-1.8031,-4.2659
AVAX-USDT,2023-11-06,2023-11-10,stop_fantasma,13.0800,14.7500,12.7676,13.5156,13.7346
AVAX-USDT,2023-11-11,2023-11-12,stop_fantasma,16.7900,18.9800,13.0435,13.8163,13.0435
AVAX-USDT,2023-11-15,2023-12-08,stop_fantasma,20.7000,30.4400,47.0531,14.7337,15.8295
AVAX-USDT,2023-12-09,2023-12-10,stop_fantasma,31.9100,37.1400,16.3898,13.6301,16.3898
AVAX-USDT,2023-12-11,2023-12-29,stop_real,38.0400,40.1800,5.6257,4.0555,0.9548
AVAX-USDT,2024-03-11,2024-03-12,stop_fantasma,49.0900,55.4800,13.0169,16.4983,13.0169
AVAX-USDT,2024-11-10,2024-11-11,stop_fantasma,31.8900,35.7200,12.0100,11.5415,11.9787
AVAX-USDT,2024-11-22,2024-12-09,stop_real,43.1700,45.0200,4.2854,-0.9417,-16.5987
AVAX-USDT,2025-09-10,2025-09-18,stop_fantasma,29.4800,35.1900,19.3691,10.6569,10.5908
